"Web.com Group, Inc.",1.87%
"Etsy, Inc.",1.85%
"Alteryx, Inc. Class A",1.83%
"Twilio, Inc. Class A",1.82%
"GrubHub, Inc.",1.74%
"Yext, Inc.",1.72%
"SPS Commerce, Inc.",1.72%
"Nutrisystem, Inc.",1.69%
"Five9, Inc.",1.67%
"MongoDB, Inc. Class A",1.65%
"Hortonworks, Inc.",1.61%
"Amazon.com, Inc.",1.60%
Alphabet Inc. Class C,1.59%
"Shutterstock, Inc.",1.59%
"VeriSign, Inc.",1.58%
"TrueCar, Inc.",1.57%
"Match Group, Inc.",1.57%
"Wayfair, Inc. Class A",1.57%
"Expedia Group, Inc.",1.56%
"Qurate Retail, Inc. Class A",1.53%
"Apptio, Inc. Class A",1.53%
"Okta, Inc. Class A",1.53%
IAC/InterActiveCorp.,1.53%
"Alarm.com Holdings, Inc.",1.52%
"Coupa Software, Inc.",1.51%
"Cornerstone Ondemand, Inc.",1.51%
Liberty Expedia Holdings Inc Class A,1.50%
"GoDaddy, Inc. Class A",1.50%
NIC Inc.,1.50%
"Envestnet, Inc.",1.50%
"Overstock.com, Inc.",1.49%
"Trade Desk, Inc. Class A",1.47%
"Pandora Media, Inc.",1.47%
"Q2 Holdings, Inc.",1.44%
ANGI Homeservices Inc Class A,1.42%
"Box, Inc. Class A",1.42%
"Cars.com, Inc.",1.41%
"j2 Global, Inc.",1.41%
"New Relic, Inc.",1.41%
"TripAdvisor, Inc.",1.40%
"Facebook, Inc. Class A",1.40%
"Akamai Technologies, Inc.",1.39%
"Netflix, Inc.",1.38%
"QuinStreet, Inc.",1.37%
Booking Holdings Inc.,1.36%
Stamps.com Inc.,1.36%
"Benefitfocus, Inc.",1.36%
"PetMed Express, Inc.",1.35%
"Groupon, Inc.",1.35%
"Carbonite, Inc.",1.34%
"MINDBODY, Inc. Class A",1.33%
"Nutanix, Inc. Class A",1.32%
Yelp Inc,1.30%
"Instructure, Inc.",1.29%
"Blucora, Inc.",1.26%
"LivePerson, Inc.",1.26%
AppFolio Inc Class A,1.23%
eBay Inc.,1.20%
"Cloudera, Inc.",1.19%
Liberty TripAdvisor Holdings Inc Class A,1.18%
"Shutterfly, Inc.",1.17%
Gogo Inc.,1.17%
"Zillow Group, Inc. Class C",1.17%
"2U, Inc.",1.12%
"Twitter, Inc.",1.10%
"LogMeIn, Inc.",1.10%
"GTT Communications, Inc.",1.02%
Quotient Technology Incorporated,0.96%
Cision Ltd.,0.88%
"Endurance International Group Holdings, Inc.",0.58%
"Limelight Networks, Inc.",0.58%
State Street Institutional Investment Trust US Government Money Market Fund Institutional,0.11%